event,texp_snid,e_snid,texp_obs,e_obs,diff
SN1999gi,51529.0,3.76,51529.2,2.2,-0.2
SN2002gd,52564.5,4.84,52562.6,2.31,1.9
SN2004er,53284.7,5.23,53287.6,1.78,-2.9
SN2007U,54146.1,3.97,54144.9,3.32,1.2
SN2009ib,55054.4,4.52,55057.1,1.63,-2.7
SN2012aw,56015.7,4.72,56012.5,0.61,3.2
SN2013ai,56352.4,3.39,56365.4,1.0,-13.0
SN2013by,56413.7,4.37,56414.7,1.1,-1.0
SN2013ej,56509.2,4.58,56510.4,0.91,-1.2
SN2013fs,56584.3,4.46,56578.1,2.01,6.2
SN2014cx,56914.5,2.88,56917.5,0.77,-3.0
SN2014G,56682.0,4.34,56681.7,0.61,0.3
SN2004fx,53300.8,8,53303.5,4,-3
SN2003ib,52888.6,5,52891.5,8,-3
SN1999ca,51277.5,7,51283.5,13,-6
SN1993S,49130.8,5,nan,nan,nan
SN2008bk,54540.9,8,54509.4,41,31
SN007od,54400.6,5,nan,nan,nan
SN1992ba,48884.9,7,nan,nan,nan
SN2003bn,52694.5,5,52694.5,3,0
SN2003hn,52867.9,8,52866.5,10,1
SN2004er,53271.8,6,53271.8,2,0
SN2008if,54814.7,3,54807.8,5,7
SN2008bu,54566.8,7,nan,nan,nan
SN2003gd,52755.5,9,nan,nan,nan
SN2003B,52613.5,11,nan,nan,nan
SN1999br,51278.5,4,51276.7,4,2
SN2008aw,54522.8,5,54517.8,10,5
SN2002hx,52575.5,9,52582.5,9,-7
SN2003ef,52757.5,9,52745.7,25,12
SN2002hj,52558.5,10,52562.5,7,-4
SN2009N,54846.8,5,54845.4,11,1
SN1999em,51473.5,5,51476.5,5,-3
